Rank,Hebrew,English,cefr_level,confidence,source
1496,תחרות,competition,B1,0.384,model_predicted
1497,ספינות,ships,A2,0.431,model_predicted
1498,שיתוף,cooperation / collaboration,C1,0.481,model_predicted
1499,רחב,wide,B1,0.345,model_predicted
1500,לשנת,for the year [X] / for the year of / for the sleep of,A1,0.821,model_predicted
1501,אירוע,event,B1,0.505,model_predicted
1502,הוקמו,were established / were built (m.pl.),A1,0.62,model_predicted
1503,עולי,immigrants of,B2,1.0,concordance
1504,הוועד,the committee / the board,B1,0.258,model_predicted
1505,המתים,the dead (m.pl.),A1,0.494,model_predicted
1506,רואים,see (m.pl.),A1,0.805,model_predicted
1507,משפחתו,his family,A1,0.788,model_predicted
1508,לפגוע,to hit / to damage / to offend,A2,0.406,model_predicted
1509,הקשה,the difficult / the hard (m.s.) / the difficult / the hard (f.s.),A2,0.394,model_predicted
1510,בעונה,in a season / in season,A1,0.494,model_predicted
1511,הסביבה,the area,A2,0.507,model_predicted
1512,כנסת,Knesset (the Israeli parliament),C1,0.433,model_predicted
1513,נאלץ,was forced / was compelled (m.s.),A2,0.447,model_predicted
1514,משמעותית,significant (f.s.) / in significance,C1,0.444,model_predicted
1515,יחידת,unit of / squad of,A2,0.277,model_predicted
1516,תור,line / turn,A1,0.553,model_predicted
1517,אודות,about,A1,0.639,model_predicted
1518,הופיע,appeared / performed (m.s.),B1,0.354,model_predicted
1519,בפארק,in a park / in the park,A1,1.0,concordance
1520,ניסיונות,trials / attempts,B2,0.396,model_predicted
1521,נקודת,point of,A1,0.452,model_predicted
1522,ריכוז,concentration,C1,0.42,model_predicted
1523,בתולדות,in the history of,A2,0.328,model_predicted
1524,כחלק,as part,A1,0.578,model_predicted
1525,ברמה,at the height / at the level / at a level,A2,0.412,model_predicted
1526,שנתיים,two years,A1,0.796,model_predicted
1527,הביולוגיה,the biology,B2,0.413,model_predicted
1528,פחמן,carbon,B2,0.35,model_predicted
1529,הוסיף,added (m.s.),B1,0.366,model_predicted
1530,הילדים,the children,A1,0.862,model_predicted
1531,בבוקר,in the morning,A1,0.86,model_predicted
1532,המשפחה,the family,A1,0.813,model_predicted
1533,המשיכה,the pull / the attraction / the withdrawal / gravity / continued (f.s.),B1,0.514,model_predicted
1534,חומות,walls,A1,0.616,model_predicted
1535,אחיו,his brother,A1,0.788,model_predicted
1536,דמות,image / figure / shape / character,A1,0.653,model_predicted
1537,צמחים,plants,A1,0.424,model_predicted
1538,אש,fire,A1,0.464,model_predicted
1539,מנהיג,leader,B1,0.287,model_predicted
1540,כאמור,as aforesaid,C1,0.512,model_predicted
1541,פגיעה,hit / impact / damage / offense,A2,0.406,model_predicted
1542,הפוליטי,the political (m.s.),B2,0.325,model_predicted
1543,נמוכה,low / short (f.s.),A2,0.406,model_predicted
1544,המשטר,the regime,C1,0.508,model_predicted
1545,בנייה,construction,B1,0.338,model_predicted
1546,המהפכה,the revolution,B2,1.0,concordance
1547,תנועות,motions / movements,B1,0.499,model_predicted
1548,האתר,the site,A1,0.525,model_predicted
1549,המקרא,the Bible / the legend,B2,0.274,model_predicted
1550,הפטרוסלינון,the parsley,C1,0.386,model_predicted
1551,הדלת,the door,A1,0.763,model_predicted
1552,המלכה,the queen,A2,0.356,model_predicted
1553,יוצא,going out / coming out / goes out / comes out (m.s.),A1,0.708,model_predicted
1554,עלים,leaves,B1,0.316,model_predicted
1555,גשם,rain,A1,0.728,model_predicted
1556,איננה,is not / is not here (f.s.),A1,0.569,model_predicted
1557,הברזל,the iron,A2,0.527,model_predicted
1558,בהרבה,in much / in many,A1,0.729,model_predicted
1559,טרם,before,A1,0.523,model_predicted
1560,השחקנים,the players / the actors,A1,0.502,model_predicted
1561,הציג,introduced / displayed / presented / exhibited (m.s.),C1,0.373,model_predicted
1562,האסלאם,the Islam,A2,0.357,model_predicted
1563,דומים,similar / resembling (m.pl.),A2,0.375,model_predicted
1564,בפיקודו,under his command,A2,0.429,model_predicted
1565,במבצע,in an operation / on sale,B1,0.404,model_predicted
1566,דת,religion,B1,1.0,concordance
1567,בפועל,actually,A2,0.388,model_predicted
1568,התא,the cell,A1,0.391,model_predicted
1569,גידול,growth / increase / tumor,B1,0.318,model_predicted
1570,באוניברסיטת,at the university of,A1,0.572,model_predicted
1571,העלילה,the plot / the deed / the libel / the false charge,C1,0.355,model_predicted
1572,כזאת,like this (f.),A1,0.662,model_predicted
1573,השחורה,the black (f.s.),A1,0.766,model_predicted
1574,ילד,child (m.) / boy,A1,0.862,model_predicted
1575,חייב,must / owes / debtor(m.s.) / forced / obligated / charged (m.s.),A1,0.481,model_predicted
1576,משפחה,family,A1,0.813,model_predicted
1577,נמשך,continues / continued / lasted / was pulled / was attracted / was withdrawn (m.s.),B2,0.357,model_predicted
1578,עסק,dealt / engaged / worked (m.s.),B2,0.295,model_predicted
1579,חבלה,sabotage / bruising,C1,0.608,model_predicted
1580,הגבוה,the high / the tall (m.s.),A2,0.387,model_predicted
1581,תולדות,history,A2,0.328,model_predicted
1582,אירועים,events,B1,0.505,model_predicted
1583,האור,the light (m.s.),A1,0.562,model_predicted
1584,חופש,freedom,C1,0.45,model_predicted
1585,הידע,the knowledge,A2,0.343,model_predicted
1586,בהדרגה,gradually,C1,0.482,model_predicted
1587,ממוצא,from an origin,A1,0.672,model_predicted
1588,כללו,included (pl.),A2,0.445,model_predicted
1589,בכוח,forcefully,C1,0.44,model_predicted
1590,מתקופת,from the period of / from the era of,A1,0.672,model_predicted
1591,שימשו,were used for (pl.),A1,0.62,model_predicted
1592,גישה,attitude / access / approach,C1,0.483,model_predicted
1593,בקרבת,close to,A1,0.352,model_predicted
1594,מסוימות,specific (f.pl.),B1,0.373,model_predicted
1595,ניכרת,obvious / evident (f.s.),B1,0.373,model_predicted
1596,המקורי,the original (m.s.),B1,1.0,concordance
1597,סרט,movie / ribbon / strip,A1,0.802,model_predicted
1598,מאפיינים,characteristics,C1,0.587,model_predicted
1599,ללמוד,to learn / to study,A1,0.637,model_predicted
1600,עבודתו,his work,A1,0.788,model_predicted
1601,פועלים,workers / operate (m.pl.),A2,0.584,model_predicted
1602,מולקולות,molecules,B2,0.498,model_predicted
1603,בודאי,certainly,A2,0.412,model_predicted
1604,האלון,the oak,A2,0.337,model_predicted
1605,למות,to die,A1,1.0,concordance
1606,גבעת,hill of,A2,0.421,model_predicted
1607,מדוע,why,A1,0.473,model_predicted
1608,הנשים,the women,A1,0.791,model_predicted
1609,חיות,living / alive (f.pl.) / animals / vitality,A1,1.0,concordance
1610,כעבור,after [time period],A1,0.511,model_predicted
1611,שחור,black,A1,0.766,model_predicted
1612,חסר,lacking (m.s.),C1,0.465,model_predicted
1613,ממשלה,government,B2,0.304,model_predicted
1614,האמינו,believed (pl.),B2,0.411,model_predicted
1615,מכונה,machine / called,A2,0.49,model_predicted
1616,לעיל,aforementioned,C1,0.487,model_predicted
1617,כאחד,as one,A1,0.821,model_predicted
1618,היחידות,the units / the squads / the only / the single (f.pl.),A2,0.277,model_predicted
1619,השפעות,effects / influences,B2,0.374,model_predicted
1620,הראשית,the main (f.s.),A2,0.498,model_predicted
1621,בנות,girls / daughters / the girls of / the daughters of,A1,0.85,model_predicted
1622,בברית,pact / alliance / covenant / circumcision,B2,0.44,model_predicted
1623,חיילי,soldiers of,A2,0.408,model_predicted
1624,הצלחה,success,B1,0.367,model_predicted
1625,טוען,claim / argue / charge / load (m.s.),B2,0.398,model_predicted
1626,נפשי,my soul / my spirit / my life,B2,0.405,model_predicted
1627,נקבה,female / tunnel,B1,1.0,concordance
1628,בערב,in the evening,A1,0.84,model_predicted
1629,שזה,that this (m.),A1,0.795,model_predicted
1630,רעיון,idea,A2,0.41,model_predicted
1631,המועצה,the council,A2,0.331,model_predicted
1632,יוכל,will be able (m.s.),A1,0.714,model_predicted
1633,משטר,regime / reign,C1,0.508,model_predicted
1634,הליגה,the league,A2,0.562,model_predicted
1635,האדום,the red,A1,0.796,model_predicted
1636,במדינה,in a state / in the state,A2,0.303,model_predicted
1637,באשר,regarding / wherever (biblical),B2,0.405,model_predicted
1638,אחוז,percent / percentage / is held (m.s.) / hold (m.s. Imperative),A2,0.383,model_predicted
1639,ביצע,performed / executed (m.s.),B1,0.43,model_predicted
1640,בגטו,in a ghetto / in the ghetto,C1,0.464,model_predicted
1641,מנחם,comforting / comforts (m.s.),B2,0.341,model_predicted
1642,חיידקים,bacteria,B2,0.339,model_predicted
1643,לשוב,to return,B1,0.41,model_predicted
1644,נפל,fell (m.s.),A2,0.438,model_predicted
1645,היד,the hand,A1,1.0,concordance
1646,פורסם,was published / was advertised (m.s.),A2,0.447,model_predicted
1647,שיעור,lesson,B1,0.294,model_predicted
1648,הטובים,the good (m.pl.),A1,0.76,model_predicted
1649,ראוי,worthy of / suitable / deserving / eligible / appropriate (m.s.),C1,0.548,model_predicted
1650,מוות,death,B1,0.401,model_predicted
1651,לקח,took (m.s.),A1,0.35,model_predicted
1652,נעשו,were done / became (pl.),A1,0.62,model_predicted
1653,גל,wave,B2,0.318,model_predicted
1654,נאלצו,were forced / were compelled,A1,0.62,model_predicted
1655,סירב,refused (m.s.),B2,0.372,model_predicted
1656,מצויים,are [at] / common / available (m.pl.),A1,0.786,model_predicted
1657,לוח,board,A2,0.429,model_predicted
1658,לפרוץ,to break into / to breach,A1,0.4,model_predicted
1659,לבעל,to an owner of / to a husband / to the husband,A2,0.388,model_predicted
1660,נכתב,was written (m.s.),A2,0.447,model_predicted
1661,המברק,the telegram,A2,0.346,model_predicted
1662,שלטונו,his rule / his reign,A1,0.788,model_predicted
1663,בשבי,in captivity / in [the] captivity / in [the] prison / in captivity of,C1,0.577,model_predicted
1664,אזורים,areas / regions / zones,B1,1.0,concordance
1665,ימינו,his right / our days,A1,0.788,model_predicted
1666,עליית,rise of / increase of / immigration of,C1,0.382,model_predicted
1667,בסרט,in a movie / with a ribbon/strip / in the movie / with the ribbon/strip,A1,0.802,model_predicted
1668,עדויות,evidence (pl.) / testimonies,C1,0.4,model_predicted
1669,בעיות,problems,A1,1.0,concordance
1670,חוזר,returns (m.s.) / repeats (m.s.) / returning / repeating / circular,B2,1.0,concordance
1671,סוגים,kinds / classes / types,A1,1.0,concordance
1672,יהודית,Jewish (f.s.),A1,0.351,model_predicted
1673,אווירניים,aerobic (m.pl.),B2,0.351,model_predicted
1674,תודה,thanks / gratitude,A1,0.705,model_predicted
1675,לכם,to you / for you (m.pl.),A1,0.851,model_predicted
1676,בעד,in favor of,B1,0.353,model_predicted
1677,שקט,silence / quiet / silent (m.s.) / calmed down / became quiet (m.s.),B2,0.371,model_predicted
1678,להישאר,to stay / to remain,B1,0.36,model_predicted
1679,להבין,to understand,A2,0.31,model_predicted
1680,המצוי,that is [at] / common / available (f.s.),A1,0.795,model_predicted
1681,מצא,found (m.s.),A1,0.403,model_predicted
1682,לאל,to a god / to the god / [to set at] nought,A2,0.421,model_predicted
1683,חדר,room / penetrated / intruded (m.s.),A1,0.796,model_predicted
1684,משפט,sentence / trial,A1,0.521,model_predicted
1685,חברים,friends / members (m.),A1,0.768,model_predicted
1686,החוץ,the outside,A1,0.654,model_predicted
1687,הלבן,the white (m.s.),A1,0.831,model_predicted
1688,התרופות,the medications / the drugs,A2,0.417,model_predicted
1689,מורכב,complex / composed of (m.s.),C1,0.47,model_predicted
1690,הגישה,the attitude / the access / the approach,C1,0.483,model_predicted
1691,במערכת,in a system / in an editorial board / in the system / in the editorial board,B1,1.0,concordance
1692,סרטן,cancer (disease) / crab,A1,0.39,model_predicted
1693,היחסים,the relations,B2,0.387,model_predicted
1694,ציוד,equipment,A2,0.438,model_predicted
1695,חומרי,materials of,B1,0.363,model_predicted
1696,כפר,village,A1,0.697,model_predicted
1697,היכל,palace / temple,B1,0.299,model_predicted
1698,בעונת,in the season of,A1,0.494,model_predicted
1699,משנות,from the years of,A1,0.672,model_predicted
1700,האלקטרונים,the electrons,B2,0.419,model_predicted
1701,האנזים,the enzyme,C1,0.437,model_predicted
1702,עמדתי,my position / I stood / I was going to / I succeeded,B1,1.0,concordance
1703,לבקש,to ask / to request,A1,0.737,model_predicted
1704,אחריו,after him,A1,0.511,model_predicted
1705,שאפשר,that [it is] possible (adv.) / that enabled / that facilitated (m.s.),A1,0.795,model_predicted
1706,לשאת,to carry / to marry,A2,0.382,model_predicted
1707,להציג,to introduce / to display / to present / to exhibit,B1,0.38,model_predicted
1708,שנערך,who prepared / who made arrangements / that was held / that was edited (m.s.),A1,1.0,concordance
1709,קשים,difficult / hard (m.pl.),A2,0.394,model_predicted
1710,הלחם,fight (m.s. imperative),A2,0.417,model_predicted
1711,החומר,the material,B1,0.363,model_predicted
1712,הכללית,the general (m.pl.),B1,1.0,concordance
1713,בכפר,in a village / in the village,A1,0.697,model_predicted
1714,בסגנון,[in] a style of / [in] a manner of,B1,0.385,model_predicted
1715,ניצחון,victory,B1,0.321,model_predicted
1716,תמורת,in return for / in exchange for // change of / transformation of,B1,0.41,model_predicted
1717,ולבסוף,and finally / and eventually,A2,0.344,model_predicted
1718,פעלו,acted / operated (pl.),B1,0.473,model_predicted
1719,ענק,giant (m.s.) / necklace,B1,0.296,model_predicted
1720,יין,wine,A1,0.712,model_predicted
1721,לכוחות,to powers / to forces / to strengths / to the powers / to the forces / to the strengths,B1,0.397,model_predicted
1722,תורה,Torah / theory / her turn,B2,0.349,model_predicted
1723,אמנים,artists,A2,0.521,model_predicted
1724,חברה,friend / member (f.s.) / company / society,A1,0.768,model_predicted
1725,הדרומית,the southern (f.s.),A2,0.393,model_predicted
1726,באתר,on a site / at the site,A1,0.525,model_predicted
1727,בהר,[on] a mountain / [on] the mountain,A2,0.517,model_predicted
1728,הנהר,the river,A1,0.725,model_predicted
1729,לקרב,to bring close / to the battle,A1,0.722,model_predicted
1730,ציור,painting / drawing,A1,0.509,model_predicted
1731,הערים,the cities,A1,0.732,model_predicted
1732,בהיסטוריה,in history,A2,0.328,model_predicted
1733,עשויים,might / made (m.pl.),A1,0.454,model_predicted
1734,חוזה,contract / prophet,B1,0.347,model_predicted
1735,בפעילות,in activity,B1,0.432,model_predicted
1736,נקבע,was determined / was fixed / was set (m.s.),A2,0.447,model_predicted
1737,תופעה,phenomenon,C1,0.529,model_predicted
1738,הופיעו,appeared / performed (pl.),B1,0.354,model_predicted
1739,האנושי,the humane (m.s.),B2,0.376,model_predicted
1740,משתנה,varies / changes (m.s.) / variant (stat.),C1,0.496,model_predicted
1741,מרוב,from most / of most / so many,A1,0.672,model_predicted
1742,עיניו,his eyes,A1,0.788,model_predicted
1743,שמש,sun / attendant,A1,0.76,model_predicted
1744,הטובה,the good (f.s.) / the favor,A1,0.76,model_predicted
1745,ואשר,and that / and regarding,A1,0.795,model_predicted
1746,קרן,beam / ray / fund / horn / bugle,B2,1.0,concordance
1747,חולים,patients / sick (m.pl.),B1,0.345,model_predicted
1748,משפחות,families,A1,0.813,model_predicted
1749,יכולות,abilities / capabilities,B1,0.386,model_predicted
1750,להניח,to assume / to place,B2,0.378,model_predicted
1751,קיבלה,received / accepted (f.s.),B1,0.448,model_predicted
1752,בסדרה,in a series / in the series,A2,0.456,model_predicted
1753,הכלכלי,the economic (m.s.),B2,0.354,model_predicted
1754,מחנות,camps / groups / park (f.pl.),A1,1.0,concordance
1755,יחידה,unit / squad / only / single,A2,0.277,model_predicted
1756,ידועים,known (m.pl.),A1,0.636,model_predicted
1757,ורבים,and many / and fight (m.pl.),A1,0.618,model_predicted
1758,כחול,blue (m.s.),A1,0.749,model_predicted
1759,דרש,required / demanded / preached / interpreted (m.s.),A2,0.375,model_predicted
1760,במילים,in words / in the words,A1,0.796,model_predicted
1761,בגוף,in a body / in the body,A1,0.568,model_predicted
1762,החזית,the front / the frontier,B1,1.0,concordance
1763,שטחי,areas of / fields of / territories of / superficial,A2,0.507,model_predicted
1764,מדרום,from the south,A1,0.672,model_predicted
1765,לקיים,to hold / to fulfill / to carry out / to maintain,B1,0.412,model_predicted
1766,הידועים,the known (m.pl.),A1,0.636,model_predicted
1767,עקרונות,principles,C1,0.511,model_predicted
1768,יצירת,formation of / creation of / artistic work of / composition of,C1,0.435,model_predicted
1769,להצלחה,for success / for the success,B1,0.367,model_predicted
1770,מהמאה,from the century,A1,0.672,model_predicted
1771,שימור,conservation,C1,0.603,model_predicted
1772,עקרון,principle,C1,0.511,model_predicted
1773,המסורת,the tradition,B1,0.362,model_predicted
1774,האנושית,the humane (f.s.),B2,0.376,model_predicted
1775,הפרעות,disturbances / interferences / interruptions,C1,0.563,model_predicted
1776,החיל,applied (m.s.) / the corps,B2,0.4,model_predicted
1777,מופיעה,appears / performs (f.s.),B1,0.441,model_predicted
1778,הלווייתן,the whale,A2,0.366,model_predicted
1779,מצאתי,I found,A1,0.403,model_predicted
1780,נשמע,sounds / sounded (m.s.) / we will hear,A1,0.581,model_predicted
1781,יושב,sit (m.s.),A1,0.79,model_predicted
1782,יהיו,will be (pl.),A1,0.714,model_predicted
1783,שיכול,who/that can,A1,1.0,concordance
1784,התחתון,the bottom / the lower / the inferior (m.s.),A1,0.468,model_predicted
1785,האחרות,the other (f.pl.) / the others (f.),A1,0.577,model_predicted
1786,איום,threat / terrible / horrible (m.s.),C1,0.368,model_predicted
1787,משחקים,games / play (m.pl.),A1,0.645,model_predicted
1788,מהלך,move / step / distance,A2,0.399,model_predicted
1789,להוכיח,to prove,B2,0.346,model_predicted
1790,בסך,in procession / total / only,B1,1.0,concordance
1791,שנעשה,that was done,A1,0.795,model_predicted
1792,האב,the father,A1,0.782,model_predicted
1793,ביניהן,between them (f.),A2,0.322,model_predicted
1794,למשך,for a period of,A2,0.396,model_predicted
1795,לרבות,to/for many (f.pl.) / including,A1,0.618,model_predicted
1796,ובעיקר,and mainly / and principally / and especially,B1,0.344,model_predicted
1797,הטבעי,the natural (m.s.),B1,1.0,concordance
1798,סדרה,series,A2,0.456,model_predicted
1799,איתי,with me,A1,0.565,model_predicted
1800,הטבח,the cook / the slaughter,A1,0.678,model_predicted
1801,המערב,the west,A1,0.47,model_predicted
1802,נשלחו,were sent (pl.),A1,0.62,model_predicted
1803,בראשות,headed by / led by,B1,0.345,model_predicted
1804,צבאית,military (f.s.),B1,0.328,model_predicted
1805,פוליטי,political (m.s.),B2,0.325,model_predicted
1806,החוקרים,the investigators / the researchers,C1,0.393,model_predicted
1807,התלמוד,the learning / the Talmud,A2,0.273,model_predicted
1808,עליך,on you / about you (m.s.) / on you / about you (f.s.),A1,0.851,model_predicted
1809,הצעירה,the young (f.s.),A1,0.821,model_predicted
1810,לחשוב,to think,A1,0.492,model_predicted
1811,לכתוב,to write,A1,0.764,model_predicted
1812,מוקדם,early / preliminary (m.s.),A1,0.757,model_predicted
1813,לילה,night,A1,0.86,model_predicted
1814,שכבר,that already,A1,0.795,model_predicted
1815,במחיר,at a price,A1,0.593,model_predicted
1816,מאמר,article / saying,A1,0.707,model_predicted
1817,השוק,"the market / the shock / the leg (e.g., chicken)",A2,0.317,model_predicted
1818,אמור,supposed (m.s.),A2,0.393,model_predicted
1819,לתפקיד,for a role / for the role of / for the role,B1,0.431,model_predicted
1820,שנקרא,that/who is called (m.s.),A1,1.0,concordance
1821,בהצלחה,good luck / successfully,A1,0.76,model_predicted
1822,בסיפור,in a story / in the story,A1,0.7,model_predicted
1823,טוענים,claim / argue / charge / load (m.pl.),B2,0.398,model_predicted
1824,מיוחדת,special (f.s.),A2,0.465,model_predicted
1825,מידה,measure / size / quality,B2,0.329,model_predicted
1826,תקווה,hope,B1,0.402,model_predicted
1827,ואחרים,and other (m.pl.) / and others (m.),A1,0.577,model_predicted
1828,חשובים,important (m.pl.),A1,0.32,model_predicted
1829,זהב,gold,A2,1.0,concordance
1830,הינה,she is / is (f.),A1,0.841,model_predicted
1831,ביקר,visited / criticized,B1,0.384,model_predicted
1832,מזו,from this (f.),A1,0.672,model_predicted
1833,מהיר,fast / rapid / quick (m.s.),A2,0.439,model_predicted
1834,יימס,will dissolve,A1,0.714,model_predicted
1835,למדינה,to/for a state / to/for the state,A2,0.303,model_predicted
1836,לשחק,to play,A1,0.768,model_predicted
1837,שירת,served (m.s.),A2,0.418,model_predicted
1838,שלט,ruled (m.s.) / sign,B2,0.363,model_predicted
1839,שהביא,that/who brought (m.s.),A1,1.0,concordance
1840,המשחקים,the games,A1,0.645,model_predicted
1841,הוראה,order / instruction,A2,0.498,model_predicted
1842,הרחובות,the streets,A1,0.824,model_predicted
1843,בחברה,in a company / in a society / in the conpany / in the society,A2,0.465,model_predicted
1844,קצינים,officers,A2,0.459,model_predicted
1845,המקומיים,the local (m.pl.),A2,0.407,model_predicted
1846,מתן,giving,B1,0.387,model_predicted
1847,יסודות,foundations / bases,B2,1.0,concordance
1848,לפיה,according to her / to her mouth,B1,0.344,model_predicted
1849,הנהגת,leadership of,C1,0.412,model_predicted
1850,הבולטים,the protruding / that/who stand out (m.pl.),A1,1.0,concordance
1851,הסרטים,the movies / the ribbons/strips,A1,0.802,model_predicted
1852,המנדט,the mandate,C1,0.5,model_predicted
1853,אותנו,us,A1,0.786,model_predicted
1854,לקחת,to take,A1,0.488,model_predicted
1855,הולך,walk / go (m.s.),A1,0.834,model_predicted
1856,נראתה,was seen / looked (f.s.),A2,0.447,model_predicted
1857,לנסות,to try,A1,0.679,model_predicted
1858,נהרג,was killed,A2,0.447,model_predicted
1859,נבחרת,team / elected / selected (f.s.),A2,1.0,concordance
1860,הנבחרת,the team / the elected / the selected (f.s.),A2,1.0,concordance
1861,זוהי,this is (f.),A1,0.788,model_predicted
1862,המסחר,the commerce / the trade,B1,0.299,model_predicted
1863,הקו,the line,A1,0.553,model_predicted
1864,העניק,gave (m.s.),A1,0.369,model_predicted
1865,לבני,for my son,A1,0.713,model_predicted
1866,קצב,rhythm / butcher,B2,0.396,model_predicted
1867,המשך,continuation,C1,0.539,model_predicted
1868,מאפשר,enables / facilitates (m.s.),C1,0.524,model_predicted
1869,מהווים,are / constitute (m.pl.),A1,0.786,model_predicted
1870,ומספר,and a number,A1,0.734,model_predicted
1871,המזרח,the east,A2,0.547,model_predicted
1872,התקיים,existed / took place / was held (m.s.),C1,0.498,model_predicted
1873,הוציאה,she spent / she took out / she published,A1,0.841,model_predicted
1874,העולים,the rising / the increasing / the climbing / the immigrants (m.pl.),B2,1.0,concordance
1875,הדרכים,the ways / the roads,A1,0.731,model_predicted
1876,דמוקרטית,democratic (f.pl.),C1,0.367,model_predicted
1877,גשר,bridge,A2,0.371,model_predicted
1878,טרור,terror,B2,1.0,concordance
1879,נמשכה,lasted / was pulled / was attracted / was withdrawn (f.s.),B1,0.355,model_predicted
1880,נחשבת,is considered,B1,0.369,model_predicted
1881,המשלוח,the shipment / the delivery,B1,0.343,model_predicted
1882,צפונה,to the north,A1,0.444,model_predicted
1883,שכונה,neighborhood,A2,0.342,model_predicted
1884,פרוץ,broken open,A2,0.375,model_predicted
1885,הרומית,the roman (f.s.),A2,0.341,model_predicted
1886,לים,to the sea,A1,0.561,model_predicted
1887,קשרים,ties / bonds / links / connections,B1,1.0,concordance
1888,חזקה,strong (f.s.) / possession / power (math.),B1,0.373,model_predicted
1889,אוכלוסיית,population of,B1,0.362,model_predicted
1890,הטלוויזיה,the television,A1,0.809,model_predicted
1891,שיחק,played (m.s.),A1,0.708,model_predicted
1892,החלוקה,the division,B2,1.0,concordance
1893,האקלים,the climate,B1,0.429,model_predicted
1894,הארגונים,the organizations,C1,0.345,model_predicted
1895,ההסתדרות,the Histadrut (the General Federation of Laborers in Israel),B1,1.0,concordance
1896,פועלי,workers of,A2,0.584,model_predicted
1897,אופניים,bicycle,A1,0.663,model_predicted
1898,מתרחשת,happens (f.s.),B1,0.353,model_predicted
1899,סיף,sward / fencing,C1,0.421,model_predicted
1900,פירות,fruits,A1,0.794,model_predicted
1901,שאם,that if / that a mother,A1,0.795,model_predicted
1902,רעב,hunger / hungry (m.s.),B1,1.0,concordance
1903,שהן,that they (f.) / that are (f.pl.),A1,0.795,model_predicted
1904,הקברות,the cemetery,B2,0.336,model_predicted
1905,קבלת,reception of / acceptance of,B1,0.475,model_predicted
1906,השלום,the peace,B2,0.324,model_predicted
1907,במחצית,at a half / at a middle / at the half / at the middle,A1,0.445,model_predicted
1908,נפלה,fell (f.s.),A2,0.438,model_predicted
1909,שלח,sent (m.s.),A2,0.421,model_predicted
1910,השחור,the black (m.s.),A1,0.766,model_predicted
1911,שלם,whole / complete // pay (m.s. imperative),A2,0.492,model_predicted
1912,שהגיע,that/who arrived (m.s.),A1,1.0,concordance
1913,פרשת,the affair of / the chapter of / the portion of,B2,1.0,concordance
1914,ניתוח,surgery,B1,0.484,model_predicted
1915,שיא,top / peak,A2,0.503,model_predicted
1916,בכמה,in how many / in how much / in some,A1,0.725,model_predicted
1917,בגובה,at a height / at the height,A2,0.412,model_predicted
1918,טבע,nature,B1,0.372,model_predicted
1919,מימי,from the days of,A1,0.672,model_predicted
1920,מקומיים,local (m.pl.),A2,0.407,model_predicted
1921,מבוסס,well established / well based (m.s.),A1,0.773,model_predicted
1922,ישירה,direct (f.s.),B1,0.342,model_predicted
1923,התנועות,the movements / the motions,B1,0.461,model_predicted
1924,מלח,salt / sailor,A2,0.394,model_predicted
1925,סיוע,assistance / aid,B1,0.358,model_predicted
1926,האיחוד,the union,B1,1.0,concordance
1927,לצבא,to/for an army / to/for the army,A2,0.361,model_predicted
1928,חופשי,free,A1,0.674,model_predicted
1929,ירי,shooting / fire,B1,0.393,model_predicted
1930,התושבים,the residents,C1,0.443,model_predicted
1931,ביצורים,fortifications / with/in creatures / with/in the creatures,C1,0.546,model_predicted
1932,שימשה,was used for (f.s.),A2,0.447,model_predicted
1933,לספירה,for a count / for the count / A.D.,A1,0.485,model_predicted
1934,הלאומית,the national (f.s.),A2,1.0,concordance
1935,נערכו,prepared / made arrangements / were held / were edited (pl.),B1,0.434,model_predicted
1936,ההשפעה,the effect / the influence,B2,0.374,model_predicted
1937,תורת,Torah of / theory of,B2,0.349,model_predicted
1938,ובשנת,and in the year [X],A1,0.821,model_predicted
1939,משחקי,games of / my game / my play,A1,0.645,model_predicted
1940,ישנן,there are (f.),A1,0.782,model_predicted
1941,פצצות,bombs,B2,0.364,model_predicted
1942,עיריית,municipality of,C1,0.289,model_predicted
1943,חקר,investigated / researched / inquired (m.s.) / study of / research of,B2,0.403,model_predicted
1944,זהה,identical,B2,0.275,model_predicted
1945,נפוץ,common (m.s.),B1,0.428,model_predicted
1946,נהוג,customary / conventional / driven (m.s.),C1,0.379,model_predicted
1947,הקוטב,the pole,A2,0.291,model_predicted
1948,שאתה,that you (m.s.),A1,0.795,model_predicted
1949,הכרוב,the cabbage / the angel,A2,0.353,model_predicted
1950,ירד,went down / came down / descended / decreased (m.s.),A1,0.701,model_predicted
1951,קדימה,forward,B1,0.352,model_predicted
1952,מבית,from the house of / from the home of / from a house / from inside,A1,0.672,model_predicted
1953,ואפילו,and even / and although,A2,0.407,model_predicted
1954,למוות,[to] death / [to the] death,B1,0.401,model_predicted
1955,שבע,seven / satisfied / full (not hungry) (m.s.),A1,0.734,model_predicted
1956,עמוד,page / pillar,A1,0.767,model_predicted
1957,עובר,passes / crosses / goes through (m.s.) / embryo / fetus,A2,0.518,model_predicted
1958,לשלוח,to send,A1,0.435,model_predicted
1959,האמת,the truth,B1,0.364,model_predicted
1960,בקיץ,in the summer,A1,0.8,model_predicted
1961,הלב,the heart,A1,0.421,model_predicted
1962,מצאו,found (pl),A1,0.403,model_predicted
1963,קשות,difficult / hard (f.pl.),A2,0.394,model_predicted
1964,השערים,the gates,A2,0.42,model_predicted
1965,באליפות,in the championship / in a championship,B2,0.341,model_predicted
1966,בצבא,in an army / in the army,A2,0.361,model_predicted
