word,transliteration,meaning,part_of_speech,root,binyan,cefr_level
אמון,'mvn,Confidence is the key.,noun,,,A2
אסף,'sf,Gathered together.,propn,,,A2
ביטוח,vytvch,Insurance  Insurance,noun,,,A2
בנייה,vnyyh,Construction is about to begin.,noun,,,A2
ברירה,vryrh,The choice is yours.,noun,,,A2
הון,hvn,The capital is money.,noun,,,A2
ירידה,yrydh,A decrease in the number of people.,noun,,,A2
ישו,yshv,Jesus Christ is the one who is.,propn,,,A2
מסר,msr,message,verb,מ-ס-ר,PAAL,A2
מעורב,m'vrv,Involved,adj,,,A2
נחל,nchl,The river Nile.,noun,,,A2
סבתא,svt',My grandmother's mother.,noun,,,A2
עמוס,'mvs,It's a lot of work.,propn,,,A2
ערבית,'rvyt,Arabic Arabic Arabic Arabic Arabic Arabic Arabic Arabic Arabic,propn,,,A2
צפוי,tzfvy,Predicted,adj,,,A2
רות,rvt,I'm going to tell you something.,propn,,,A2
תחושה,tchvshh,A feeling,noun,,,A2
תחרות,tchrvt,competition.,noun,,,A2
תשלום,tshlvm,Payment is paid.,noun,,,A2
אילת,'ylt,I've been waiting for you.,propn,,,A2
אן,'n,Ann Ann,propn,,,A2
בדיקה,vdykh,Testing is required.,noun,,,A2
בריא,vry',Healthy and healthy.,adj,,,A2
דגם,dgm,The model.,noun,,,A2
זהות,zhvt,Identical to each other.,noun,,,A2
חוזה,chvzh,A contract is signed.,noun,,,A2
טענה,t'nh,A claim is made.,noun,,,A2
כף,chf,It's a lot of fun.,noun,,,A2
לבנון,lvnvn,Lebanon is Lebanon.,propn,,,A2
לפיכך,lfychch,Thus,adv,,,A2
לשום,lshvm,To no one.,adv,,,A2
מגדל,mgdl,The tower is a tower.,noun,,,A2
מזרחי,mzrchy,East of the city.,adj,,,A2
מציאות,mtzy'vt,The reality is real.,noun,,,A2
מקצוע,mktzv',A profession is a profession.,noun,,,A2
מקצועי,mktzv'y,A professional is a professional.,adj,,,A2
מרבית,mrvyt,Most,noun,,,A2
סדרה,sdrh,series series series series series series series series series,noun,,,A2
סוד,svd,A secret is a secret.,noun,,,A2
סך,sch,The total amount,noun,,,A2
רפואה,rfv'h,medicine and medicine.,noun,,,A2
שבט,shvt,The tribe is a tribe.,noun,,,A2
שטות,shtvt,This is nonsense.,noun,,,A2
שקורה,shkvrh,occurring.,noun,,,A2
אמונה,'mvnh,Faith is the key to success.,noun,,,A2
אפריקה,'frykh,Africa Africa,propn,,,A2
גאון,g'vn,A genius is a genius.,propn,,,A2
דלק,dlk,Fuel,noun,,,A2
דלת,dlt,The door is open.,noun,,,A2
היפה,hyfh,She is beautiful.,adv,,,A2
זיכרון,zychrvn,Memory,noun,,,A2
חירום,chyrvm,There is an emergency.,noun,,,A2
כפול,chfvl,Double that.,adj,,,A2
ברח,vrch,Run away and run away.,verb,ב-ר-ח,PAAL,A2
פיתח,fytch,Developed and developed.,verb,פ-ת-ח,PIEL,A2
הוביל,hvvyl,He led the way.,verb,ו-ב-ל,HIFIL,A2
מימון,mymvn,Funding,noun,,,A2
מרי,mry,Mary,propn,,,A2
משפטי,mshfty,legal system legal system,adj,,,A2
התייחס,htyychs,Refer to refer to.,verb,י-ח-ס,HITPAEL,A2
נוצר,nvtzr,It was created.,verb,נ-צ-ר,NIFAL,A2
נייר,nyyr,Paper is paper.,noun,,,A2
ניצחון,nytzchvn,Victory is victory.,noun,,,A2
סיוע,syv',Help is needed.,noun,,,A2
"ע""ש",'sh,"""It's a good thing you're here.",noun,,,A2
עשיר,'shyr,Rich with wealth.,adj,,,A2
קוד,kvd,Code  Code,noun,,,A2
קם,km,"Get up, get up!",verb,,PAAL,A2
רבין,rvyn,Rabin is the name of Rabin.,propn,,,A2
שורה,shvrh,Line,noun,,,A2
שחר,shchr,It's early in the morning.,propn,,,A2
תוקף,tvkf,It's still going strong.,noun,,,A2
תקציב,tktzyv,The budget is a lot of money.,noun,,,A2
גידול,gydvl,Growth of the tumor.,noun,,,A2
הוד,hvd,His Excellency.,propn,,,A2
חמוד,chmvd,"Sweetheart, you're right.",adj,,,A2
חקירה,chkyrh,Investigation is underway.,noun,,,A2
חתיכה,chtychh,What a lovely piece.,noun,,,A2
יוחנן,yvchnn,John the Baptist,propn,,,A2
לאיש,l'ysh,To no one.,adv,,,A2
העניק,h'nyk,He gave generously.,verb,ע-נ-ק,HIFIL,A2
השאיר,hsh'yr,Leave the city.,verb,ש-א-ר,HIFIL,A2
לפה,lfh,Here you go.,adv,,,A2
שלט,shlt,The signage is displayed.,verb,ש-ל-ט,PAAL,A2
מאסר,m'sr,Imprisonment,noun,,,A2
מבחן,mvchn,The test is a test.,noun,,,A2
מגוון,mgvvn,Variety and variety.,noun,,,A2
מכונית,mchvnyt,A car is a car.,noun,,,A2
מערב,m'rv,west west west,noun,,,A2
מצוי,mtzvy,Very well done.,adj,,,A2
משבר,mshvr,A crisis is a crisis.,noun,,,A2
השתנה,hshtnh,It's changed.,verb,ה-ש-ה,HITPAEL,A2
נותר,nvtr,What's left of it.,verb,נ-ת-ר,NIFAL,A2
פורסם,fvrsm,Published,verb,פ-ר-מ,PUAL,A2
פרנק,frnk,Frank is the one.,propn,,,A2
קח,kch,Take it or leave it.,verb,,PAAL,A2
רון,rvn,Ron,propn,,,A2
רשמית,rshmyt,Officially,adv,,,A2
שותף,shvtf,A partner is a partner.,noun,,,A2
אביה,'vyh,Her father.,propn,,,A2
אוטובוס,'vtvvvs,Buses and buses.,noun,,,A2
אינטרנט,'yntrnt,The Internet,noun,,,A2
אמש,'msh,Last night was a nightmare.,adv,,,A2
אנוש,'nvsh,Human beings.,noun,,,A2
גובה,gvvh,The height is high.,noun,,,A2
דגל,dgl,The flag is a flag.,noun,,,A2
דופן,dvfn,Unusual Unusual,noun,,,A2
חלל,chll,Space is available.,noun,,,A2
טקס,tks,The ceremony is ceremonial.,noun,,,A2
הגיש,hgysh,Submit the file.,verb,ג-י-ש,HIFIL,A2
קידם,kydm,Let's move forward.,verb,ק-ד-מ,PIEL,A2
מוחלט,mvchlt,Absolutely complete.,adj,,,A2
מוחמד,mvchmd,Muhammad Muhammad,propn,,,A2
מונה,mvnh,Mona is the name of the monastery.,verb,מ-נ-ה,PUAL,A2
מעוניין,m'vnyyn,Interested,verb,מ-ע-נ,PAAL,A2
תיאר,ty'r,Describe what it is.,verb,ת-א-ר,PIEL,A2
נדבר,ndvr,We'll talk about it later.,verb,נ-ד-ר,PAAL,A2
נוסח,nvsch,The style.,noun,,,A2
נער,n'r,A teenage boy.,noun,,,A2
נפרד,nfrd,We say goodbye to each other.,verb,נ-פ-ד,NIFAL,B1
סיבוב,syvvv,Round the circle.,noun,,,B1
עיקר,'ykr,The main thing is that it's not.,noun,,,B1
פולין,fvlyn,Poland Poland,propn,,,B1
קיץ,kytz,Summer is here.,noun,,,B1
קצב,ktzv,Rate of action.,noun,,,B1
רדי,rdy,Reddy,noun,,,B1
שיא,shy',A record high.,noun,,,B1
תום,tvm,Tom is a man of many talents.,propn,,,B1
תוספת,tvsft,"Additionally, it's a little bit more complicated than that.",noun,,,B1
אהרון,'hrvn,Aaron Aaron,propn,,,B1
אוגוסט,'vgvst,August August,propn,,,B1
אשם,'shm,Guilt is the culprit.,noun,,,B1
ביאליק,vy'lyk,Biallic,propn,,,B1
בירה,vyrh,Beer is beer.,noun,,,B1
התנגדות,htngdvt,resistance to the movement.,noun,,,B1
זמני,zmny,my time,adj,,,B1
חנות,chnvt,Shop  Shop,noun,,,B1
טעה,t'h,It's wrong.,verb,ט-ע-ה,PAAL,B1
יונה,yvnh,Jonah is a prophet.,propn,,,B1
ייצור,yytzvr,Production and production.,noun,,,B1
לאו,l'v,Not at all.,adv,,,B1
השפיע,hshfy',influence,verb,ש-פ-ע,HIFIL,B1
סגר,sgr,Slocked,verb,ס-ג-ר,PAAL,B1
שכח,shchch,Forget about it.,verb,ש-כ-ח,PAAL,B1
מאמן,m'mn,Coach,noun,,,B1
מחזור,mchzvr,Cycle of life.,noun,,,B1
מיכל,mychl,The container is made up of a container.,propn,,,B1
נמשך,nmshch,Continued,verb,נ-מ-כ,NIFAL,B1
נפטר,nftr,Get rid of them.,verb,נ-פ-ר,NIFAL,B1
נשבע,nshv',I swear to God.,verb,נ-ש-ע,NIFAL,B1
סיכון,sychvn,The risk is high.,noun,,,B1
סין,syn,China China,propn,,,B1
עף,'f,Flying in the air.,noun,,,B1
עסקה,'skh,A deal is made.,noun,,,B1
צור,tzvr,It's a great way to get started.,propn,,,B1
רגש,rgsh,Emotions and emotions.,noun,,,B1
שיותר,shyvtr,More than that,adv,,,B1
תיאור,ty'vr,A description of what is going on.,noun,,,B1
אוצר,'vtzr,Treasury,noun,,,B1
איום,'yvm,The threat is real.,noun,,,B1
אישיות,'yshyvt,Personality and personality.,noun,,,B1
אלן,'ln,Alan is the one.,propn,,,B1
גשם,gshm,It's raining,noun,,,B1
דג,dg,Fish is a fish.,noun,,,B1
דיווח,dyvvch,Reporting Reporting,noun,,,B1
הלל,hll,"Hail, Hail, Hail, Hail, Hail, Hail,",propn,,,B1
הנחה,hnchh,The discount.,noun,,,B1
זמנית,zmnyt,Temporary,adv,,,B1
חיבור,chyvvr,Connection,noun,,,B1
חיפוש,chyfvsh,Searching for a search,noun,,,B1
הפעיל,hf'yl,The activator.,verb,פ-ע-ל,HIFIL,B1
הרס,hrs,Destruction of the earth.,verb,ה-ר-ס,PAAL,B1
חקר,chkr,Research has been done.,verb,ח-ק-ר,PAAL,B1
הסתכל,hstchl,Take a look at this.,verb,ה-ס-ל,HITPAEL,B1
מתוק,mtvk,"Sweet, sweet, sweet.",adj,,,B1
נבחרת,nvchrt,The national team.,noun,,,B1
נפגע,nfg',We were hurt.,verb,נ-פ-ע,NIFAL,B1
"ס""מ",sm,"""S"" is a word.",noun,,,B1
"עו""ד",'vd,A lawyer is a lawyer.,noun,,,B1
עידן,'ydn,The era of the era.,propn,,,B1
עליון,'lyvn,Above all else.,adj,,,B1
פשע,fsh',Crime is a crime.,noun,,,B1
קורס,kvrs,Course Course,noun,,,B1
ריק,ryk,It's not like Rick.,noun,,,B1
תרופה,trvfh,The medicine is a medicine.,noun,,,B1
אוקיי,'vkyy,Okay,adv,,,B1
אימון,'ymvn,Training is a must.,noun,,,B1
אמי,'my,My mother's mother.,propn,,,B1
אפרים,'frym,Frogs and toads.,propn,,,B1
אתי,'ty,You're with me.,propn,,,B1
דר,dr,Dr,propn,,,B1
הוכחה,hvchchh,Evidence is evidence.,noun,,,B1
החג,hchg,The holiday season.,adv,,,B1
זהה,zhh,It is the same.,adj,,,B1
חל,chl,It's a part of it.,verb,,PAAL,B1
יכל,ychl,He could.,verb,,,B1
איבד,'yvd,Lost and Found.,verb,א-ב-ד,PIEL,B1
לאל,l'l,"No, not at all.",adv,,,B1
לואיס,lv'ys,Louis,propn,,,B1
ליל,lyl,For the night.,noun,,,B1
רכש,rchsh,The purchase of property.,verb,ר-כ-ש,PAAL,B1
מודע,mvd',Consciously aware.,verb,מ-ד-ע,PUAL,B1
מוסר,mvsr,Morals and morals.,noun,,,B1
מקובל,mkvvl,Acceptable,adj,,,B1
ספרד,sfrd,Spain,propn,,,B1
פגישה,fgyshh,meeting meeting meeting,noun,,,B1
פיטר,fytr,Peter is the one.,propn,,,B1
רחבה,rchvh,wide.,noun,,,B1
רחמים,rchmym,Mercy is the result of compassion.,noun,,,B1
שלפני,shlfny,That's what happened before.,adv,,,B1
תפקידו,tfkydv,His role is to play.,noun,,,B1
אוסף,'vsf,The collection is,noun,,,B1
אליכם,'lychm,to you.,adv,,,B1
ביקור,vykvr,A visit to the city.,noun,,,B1
בריטניה,vrytnyh,Britain Britain,propn,,,B1
גולן,gvln,Gulen is a well-known figure.,propn,,,B1
גוש,gvsh,Gosh,noun,,,B1
גיבור,gyvvr,A hero is a hero.,noun,,,B1
הודו,hvdv,India India,propn,,,B1
היסטורי,hystvry,The story is historical.,adj,,,B1
זוהר,zvhr,Shine brightly.,propn,,,B1
חייה,chyyh,her life.,propn,,,B1
פתר,ftr,The solution is to solve the problem.,verb,פ-ת-ר,PAAL,B1
לרב,lrv,to the Lord.,adv,,,B1
תפס,tfs,Catch the catch.,verb,ת-פ-ס,PAAL,B1
מאבק,m'vk,It's a struggle.,noun,,,B1
מכשיר,mchshyr,The device is a device.,noun,,,B1
משא,msh',Resources are provided.,noun,,,B1
נהנה,nhnh,Have fun with it.,verb,נ-נ-ה,NIFAL,B1
נגע,ng',Touch is the key.,verb,נ-ג-ע,PAAL,B1
נועד,nv'd,It is intended for use.,verb,נ-ע-ד,NIFAL,B1
סם,sm,It's all right.,noun,,,B1
עדין,'dyn,It's very gentle.,adj,,,B1
עיתון,'ytvn,Newspaper,noun,,,B1
פנימה,fnymh,Inside,adv,,,B1
שופט,shvft,Judge,noun,,,B1
שיח,shych,Talk about it.,noun,,,B1
שימה,shymh,She's the one who's got it all figured out.,verb,ש-מ-ה,PAAL,B1
תכנון,tchnvn,Planning for the future.,noun,,,B1
אפל,'fl,The apple.,propn,,,B1
בד,vd,It's all in the book.,noun,,,B1
דפוס,dfvs,The pattern is a pattern.,noun,,,B1
הכרה,hchrh,Recognition is the key.,noun,,,B1
השראה,hshr'h,Inspiration is what inspired me.,noun,,,B1
וב,vv,and,propn,,,B1
ידוע,ydv',Known,adj,,,B1
כב,chv,"As a matter of fact, it's not a bad thing.",propn,,,B1
לך,lch,Go ahead and go.,verb,,PAAL,B1
מאמץ,m'mtz,Effort is needed.,noun,,,B1
מדהים,mdhym,It's incredible.,adj,,,B1
מדויק,mdvyk,Accurate and accurate.,adj,,,B1
מחוז,mchvz,County and county.,noun,,,B1
מחלה,mchlh,illness.,noun,,,B1
מחשבה,mchshvh,thought thought thought,noun,,,B1
משך,mshch,It's been a long time coming.,noun,,,B1
נאמן,n'mn,Faithful,propn,,,B1
נציג,ntzyg,representative of the party.,noun,,,B1
עברי,'vry,I'm going to tell you.,adj,,,B1
עקיבא,'kyv',It's the same as the previous one.,propn,,,B1
פירוש,fyrvsh,It means .,noun,,,B1
פרטי,frty,Private,adj,,,B1
צהריים,tzhryym,Lunch is served at noon.,noun,,,B1
ציור,tzyvr,Painting,noun,,,B1
צר,tzr,I'm sorry about that.,adj,,,B1
ראובן,r'vvn,Ra'u'an is the first.,propn,,,B1
שוקולד,shvkvld,Chocolate,noun,,,B1
שרץ,shrtz,Running away from home.,verb,ש-ר-צ,PAAL,B1
תופעה,tvf'h,This is a phenomenon.,noun,,,B1
אדיר,'dyr,It's wonderful.,adj,,,B1
אנג'לס,'ngls,English is English.,propn,,,B1
בלה,vlh,It's in the middle of nowhere.,propn,,,B1
"דו""ח",dvch,Report to the Board of Directors.,noun,,,B1
השלים,hshlym,The equations.,verb,ש-ל-מ,HIFIL,B1
ירה,yrh,Shooting is a good thing.,verb,י-ר-ה,PAAL,B1
לכי,lchy,Go ahead and go.,adv,,,B1
מהירות,mhyrvt,The speed is very fast.,noun,,,B1
החכים,hchchym,They're waiting.,verb,ח-כ-מ,HIFIL,B1
מנצח,mntzch,The winner is the winner.,verb,מ-נ-ח,PAAL,B1
נוף,nvf,The scenery is beautiful.,noun,,,B1
נעצר,n'tzr,Arrested.,verb,נ-ע-ר,NIFAL,B1
נשא,nsh',We're going to take care of it.,verb,,,B1
"ע""א",'',,noun,,,B1
עונש,'vnsh,Punishment is a punishment.,noun,,,B1
פניו,fnyv,His face.,noun,,,B1
רבקה,rvkh,Rebecca is the only one.,propn,,,B1
רוני,rvny,Ronnie,propn,,,B1
שילוב,shylvv,Combination is a combination.,noun,,,B1
תמר,tmr,The curve is the same as the curve.,propn,,,B1
אופניים,'vfnyym,Bicycles,noun,,,B1
אורן,'vrn,Orn,propn,,,B1
אושר,'vshr,Happiness is happiness.,propn,,,B1
אשדוד,'shdvd,Ashdod is a city.,propn,,,B1
בודד,vvdd,Lonely and lonely.,adj,,,B1
גזר,gzr,The carrots.,noun,,,B1
גיא,gy',It's a great feeling to be here.,propn,,,B1
האח,h'ch,The brotherhood.,propn,,,B1
ירדן,yrdn,Jordan is the only country in the world.,propn,,,B1
ירי,yry,Shots were fired.,noun,,,B1
"כ""כ",chch,As a matter of fact.,adv,,,B1
כולן,chvln,All of them.,noun,,,B1
כמי,chmy,Like who?,pron,,,B1
כתיבה,chtyvh,writing,noun,,,B1
נמנע,nmn',Avoidance is avoided.,verb,נ-מ-ע,NIFAL,B1
לילד,lyld,For the child.,adv,,,B1
עקב,'kv,Following the trail.,verb,ע-ק-ב,PAAL,B1
מכה,mchh,It's not a hit.,noun,,,B1
מסיבה,msyvh,Party for a reason,noun,,,B1
מקסים,mksym,It is charming.,adj,,,B1
מרשים,mrshym,It is impressive.,adj,,,B1
מתח,mtch,I'm going to try to make it work.,noun,,,B1
נמאס,nm's,Tired of it.,verb,נ-מ-ס,NIFAL,B1
סקר,skr,A survey is a survey.,noun,,,B1
עוז,'vz,Oz is the best place to go.,propn,,,B1
עמק,'mk,I'm going to tell you something.,noun,,,B1
עצוב,'tzvv,Sadness is sadness.,adj,,,B1
ער,'r,He is awake.,noun,,,B1
קיר,kyr,The wall wall,noun,,,B1
שאס,sh's,Sasha is a great place to start.,verb,ש-א-ס,PAAL,B1
שיט,shyt,It's a shame.,noun,,,B1
תאריך,t'rych,Date is the date.,noun,,,B1
אוניברסיטה,'vnyvrsyth,The university is a university.,noun,,,B1
איחוד,'ychvd,The union is a union.,noun,,,B1
אייל,'yyl,The Isle of Wight.,propn,,,B1
אלכסנדר,'lchsndr,Alexander was born.,propn,,,B1
אמריקני,'mrykny,American American,adj,,,B1
בל,vl,Bl is the name of the game.,propn,,,B1
הצטרף,htztrf,Please join us.,verb,ה-צ-פ,HITPAEL,B1
זקוק,zkvk,The needy needy needy needy needy needy needy needy need,adj,,,B1
חיינו,chyynv,Our lives.,noun,,,B1
טע,t',It's not easy.,adj,,,B1
יגאל,yg'l,I will be able to do it.,propn,,,B1
העמיד,h'myd,The resilience.,verb,ע-מ-ד,HIFIL,B1
הרים,hrym,The mountains.,verb,ה-ר-מ,PAAL,B1
התקיים,htkyym,existed.,verb,ק-י-י,HITPAEL,B1
למנות,lmnvt,To be cooked.,verb,,,B1
מדד,mdd,The measure.,noun,,,B1
מדע,md',Science is a science.,noun,,,B1
מדעי,md'y,"Scientifically speaking, it's not.",adj,,,B1
מחלוקת,mchlvkt,Disputes arise between the parties.,noun,,,B1
ליווה,lyvvh,Equality is the same.,verb,י-ו-ו,PIEL,B1
"מנכ""ל",mnchl,The CEO of the company.,noun,,,B1
מסורת,msvrt,Tradition is a tradition.,noun,,,B1
מרץ,mrtz,March,propn,,,B1
נגדו,ngdv,against him.,adv,,,B1
נוהג,nvhg,How to behave.,noun,,,B1
סיטי,syty,City City,noun,,,B1
עבירה,'vyrh,Crime,noun,,,B1
פלא,fl',It's a miracle.,noun,,,B1
קום,kvm,"Get up, get up!",noun,,,B1
קרח,krch,The ice is frozen.,noun,,,B1
קשת,ksht,A bow and arrow.,noun,,,B1
ראיה,r'yh,The eye is visible.,noun,,,B1
רושם,rvshm,The impression was made.,noun,,,B1
רעות,r'vt,Evil is evil.,propn,,,B1
תחבורה,tchvvrh,Transportation,noun,,,B1
תקף,tkf,It's going to be an attack.,verb,ת-ק-פ,PAAL,B1
אמיר,'myr,Aamir Khan is a famous actor.,propn,,,B1
אתו,'tv,With him,adv,,,B1
הוחלט,hvchlt,The decision was made.,verb,ו-ח-ט,HUFAL,B1
"חז""ל",chzl,"""It's a great feeling to be here.",propn,,,B1
טקסט,tkst,The text is,noun,,,B1
טראמפ,tr'mf,Trump is the one.,propn,,,B1
יואב,yv'v,Job is a man of faith.,propn,,,B1
בירר,vyrr,Beer is a beer.,verb,ב-ר-ר,PIEL,B1
הבחין,hvchyn,Note the note.,verb,ב-ח-נ,HIFIL,B1
סבל,svl,Suffering is the result of suffering.,verb,ס-ב-ל,PAAL,B1
לעתיד,l'tyd,For the future,adv,,,B1
לקוח,lkvch,The customer is the customer.,noun,,,B1
מגורים,mgvrym,Residences are available.,noun,,,B1
מוח,mvch,The brain is the brain.,noun,,,B1
מומחה,mvmchh,The expert is an expert.,noun,,,B1
מופע,mvf',A show,noun,,,B1
מנוע,mnv',engine.,noun,,,B1
הפחיד,hfchyd,The scary one.,adj,,,B1
נתפס,ntfs,Captured.,verb,נ-ת-ס,NIFAL,B1
סגנון,sgnvn,style style,noun,,,B1
סטודנט,stvdnt,Student student,noun,,,B1
סמך,smch,Confidence  Confidence,noun,,,B1
עצום,'tzvm,It's huge.,adj,,,B1
פרח,frch,A flower is a flower.,noun,,,B1
צפה,tzfh,Look at it.,verb,צ-פ-ה,PAAL,B1
ציוני,tzyvny,Zionist,adj,,,B1
קחה,kchh,Take it or leave it.,verb,ק-ח-ה,PAAL,B1
קרי,kry,It's the same as the Crimean War.,adv,,,B1
רוברט,rvvrt,Robert is the only one.,propn,,,B1
רץ,rtz,Running and running.,verb,,PAAL,B1
שירת,shyrt,Sing a song,verb,ש-ר-ת,PAAL,B1
שתמיד,shtmyd,Always that,adv,,,B1
תימן,tymn,Yemen is a country.,propn,,,B1
תכונה,tchvnh,The feature,noun,,,B1
תעודה,t'vdh,A certificate is issued.,noun,,,B1
אגף,'gf,On the other side.,noun,,,B1
און,'vn,And then there's the story.,propn,,,B1
אסתר,'str,Esther Esther,propn,,,B1
בקר,vkr,Beef and cattle.,noun,,,B1
גג,gg,The roof.,noun,,,B1
גדעון,gd'vn,Gideon is the one.,propn,,,B1
דודו,dvdv,My grandfather was a great-grandfather.,propn,,,B1
היטלר,hytlr,Hitler is the father of Hitler.,propn,,,B1
זכאי,zch'y,entitled to it.,adj,,,B1
חוקר,chvkr,researcher,noun,,,B1
חלוקה,chlvkh,divided up.,noun,,,B1
חתם,chtm,Signed and signed.,verb,ח-ת-מ,PAAL,B1
יונתן,yvntn,Jonathan is the only one.,propn,,,B1
יתרון,ytrvn,The advantage is that it's a good fit.,noun,,,B1
לאמא,l'm',Not to my mother.,propn,,,B1
לונדון,lvndvn,London,propn,,,B1
למשהו,lmshhv,To something.,adv,,,B1
תמך,tmch,Help me to help you.,verb,ת-מ-כ,PAAL,B1
מארק,m'rk,Mark is the one.,propn,,,B1
בוסס,vvss,The boss,verb,ב-ס-ס,PUAL,B1
מודעה,mvd'h,An advert,noun,,,B1
מימי,mymy,My name is Mimi,propn,,,B1
מכונה,mchvnh,machine,noun,,,B1
הכיל,hchyl,It contains .,verb,כ-י-ל,HIFIL,B1
מערך,m'rch,The network.,noun,,,B1
מרטין,mrtyn,Martin is the one.,propn,,,B1
משל,mshl,For example:,noun,,,B1
נפתלי,nftly,I've been waiting for you.,propn,,,B1
נשוי,nshvy,Married,adj,,,B1
סכנה,schnh,Danger is a danger.,noun,,,B1
עמית,'myt,A colleague.,propn,,,B1
ענף,'nf,The industry,noun,,,B1
עצמאי,'tzm'y,Independent and independent.,adj,,,B1
קסם,ksm,Magic is magic.,noun,,,B1
קשור,kshvr,tied together.,adj,,,B1
רומן,rvmn,The novel is a romance.,noun,,,B1
שוויון,shvvyvn,Equality,noun,,,B1
שעון,sh'vn,The clock is on.,noun,,,B1
שעושה,sh'vshh,What does it do?,adv,,,B1
תה,th,Tea is a must-have.,noun,,,B1
אחורה,'chvrh,Back to the drawing board.,adv,,,B1
אלכוהול,'lchvhvl,Alcohol is the main source of alcohol.,noun,,,B1
גברת,gvrt,Mrs.,noun,,,B1
דחה,dchh,It's a dismissal.,verb,ד-ח-ה,PAAL,B1
דרוש,drvsh,Requirements are needed.,adj,,,B1
הופעה,hvf'h,A performance,noun,,,B1
הח,hch,The first one.,noun,,,B1
הנהלה,hnhlh,The management,noun,,,B1
טווח,tvvch,Range  Range,noun,,,B1
יעל,y'l,It's too late.,propn,,,B1
יצאת,ytz't,You went out.,noun,,,B1
כנס,chns,The conference is open to all.,noun,,,B1
הצביע,htzvy',He voted for it.,verb,צ-ב-ע,HIFIL,B1
הקשיב,hkshyv,Listen to me and listen to me.,verb,ק-ש-ב,HIFIL,B1
מנה,mnh,A meal is a meal.,verb,מ-נ-ה,PAAL,B1
מסחר,mschr,Trade and commerce.,noun,,,B1
ציין,tzyyn,Please note,verb,צ-י-י,PIEL,B1
מקומי,mkvmy,Local and local.,adj,,,B1
מרוצה,mrvtzh,She is satisfied.,verb,מ-ר-ה,PAAL,B1
מרחב,mrchv,The space is wide.,noun,,,B1
מרחק,mrchk,Distance is the distance.,noun,,,B1
משימה,mshymh,Mission is a mission.,noun,,,B1
נבע,nv',He swore an oath.,verb,נ-ב-ע,PAAL,B1
נערה,n'rh,A young girl,noun,,,B1
נתניה,ntnyh,Nathaniel is the first.,propn,,,B1
סוס,svs,A horse is a horse.,noun,,,B1
ענה,'nh,She replied.,verb,ע-נ-ה,PAAL,B1
צופה,tzvfh,Look at the viewer.,noun,,,B1
קים,kym,It's the same as Kim.,propn,,,B1
שנית,shnyt,A second time.,adv,,,B1
אבטחה,'vtchh,Security  Security,noun,,,B1
אגודה,'gvdh,The organization.,noun,,,B1
אהוד,'hvd,I love you so much.,propn,,,B1
אומץ,'vmtz,Courage and courage.,noun,,,B1
אוקטובר,'vktvvr,October,propn,,,B1
איטליה,'ytlyh,Italy Italy,propn,,,B1
אלבום,'lvvm,The album was released on vinyl.,noun,,,B1
גוגל,gvgl,Google is the first to do so.,propn,,,B1
חיובי,chyvvy,Positive,adj,,,B1
טו,tv,Do it yourself.,propn,,,B1
כוונה,chvvnh,The intention.,noun,,,B1
לאחור,l'chvr,Back to the drawing board.,adv,,,B1
התעלם,ht'lm,Ignore it all.,verb,ע-ל-מ,HITPAEL,B1
פגש,fgsh,A meeting.,verb,פ-ג-ש,PAAL,B1
צילם,tzylm,The photo is taken.,verb,צ-ל-מ,PIEL,B1
מאושר,m'vshr,Happy and happy,adj,,,B1
מאלה,m'lh,One of these is,adv,,,B1
מגניב,mgnyv,Cool and cool.,adj,,,B1
מכלל,mchll,The college.,adv,,,B1
מרוב,mrvv,Most of the time.,adv,,,B1
נאה,n'h,She is beautiful.,adj,,,B1
נהר,nhr,The river is a river.,noun,,,B1
נחום,nchvm,It's kind of nice.,propn,,,B1
נסיעה,nsy'h,Traveling through the world.,noun,,,B1
נפשי,nfshy,mentally and mentally.,adj,,,B1
סוכר,svchr,Sugar is added to sugar.,noun,,,B1
סופי,svfy,The end is near.,propn,,,B1
"ע""פ",'f,"""From the beginning of time, I've been waiting for you"".",noun,,,B1
צדיק,tzdyk,A righteous man.,noun,,,B1
צמח,tzmch,plant.,noun,,,B1
קולנוע,kvlnv',The cinema,noun,,,B1
קידום,kydvm,Promotion,noun,,,B1
קפטן,kftn,"Captain, the captain.",noun,,,B1
תן,tn,Give it to me,verb,,PAAL,B1
אות,'vt,The sign.,noun,,,B1
אנושי,'nvshy,human.,adj,,,B1
ג'ק,gk,C'c,propn,,,B1
גשר,gshr,Bridge  Bridge,propn,,,B1
דאגה,d'gh,Worrying about it.,noun,,,B1
זיהוי,zyhvy,Identification is required.,noun,,,B1
טור,tvr,Tour  Tour,noun,,,B1
ישי,yshy,I'm going to try to make it.,propn,,,B1
הכנס,hchns,The meeting's income.,verb,ה-כ-ס,HITPAEL,B1
לבש,lvsh,Dress up.,verb,,PAAL,B1
מגע,mg',The touch.,noun,,,B1
מודיעין,mvdy'yn,Intelligence,noun,,,B1
מועמד,mv'md,Candidate is nominated.,noun,,,B1
מור,mvr,"More than anything else, it's worth it.",propn,,,B1
מיעוט,my'vt,A minority of them.,noun,,,B1
עורר,'vrr,It's the trigger.,verb,ע-ר-ר,PIEL,B1
מרק,mrk,Mark,noun,,,B1
משמר,mshmr,The guard.,noun,,,B1
התברר,htvrr,It turned out that,verb,ב-ר-ר,HITPAEL,B1
